id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,classification_1,classification_2,classification_3
10.2307_973365,0.001567026,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,9.27E-04,3.39E-04,0.001276689,8.80E-04,0.941446713,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.001630415,6.31E-04,0.002165894,0.012199455,0.001828628,5.45E-04,4.61E-04,4.92E-04,7.19E-04,18,29,20
10.2307_973883,0.002130454,0.001728406,0.001113614,0.003414742,0.001446882,0.001393469,8.24E-04,0.002017635,6.06E-04,0.001358659,0.002635999,0.001849541,0.899659745,0.001902587,0.001260374,4.61E-04,0.001735726,0.001196611,0.001537268,0.001239885,0.013705688,0.001018984,0.001159909,0.001419094,0.003843749,0.001259723,0.002216635,8.58E-04,0.022919787,0.0165858,0.002486116,7.41E-04,6.26E-04,6.69E-04,9.77E-04,12,28,29
10.2307_973870,0.075029213,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,0.191928737,3.39E-04,0.001276689,8.80E-04,0.001130716,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.016322853,6.31E-04,0.060935643,0.188508704,0.427909314,5.45E-04,4.61E-04,4.92E-04,7.19E-04,30,14,29
10.2307_973856,0.002130454,0.001728406,0.001113614,0.003414742,0.001446882,0.001393469,8.24E-04,0.002017635,6.06E-04,0.181134924,0.002635999,0.001849541,7.78E-04,0.001902587,0.001260374,4.61E-04,0.001735726,0.001196611,0.001537268,0.001239885,0.133556531,0.001018984,0.001159909,0.001419094,0.003843749,0.001259723,0.042166916,8.58E-04,0.002944646,0.076511221,0.002486116,7.41E-04,0.519980132,6.69E-04,9.77E-04,32,9,20
10.2307_973208,0.002048611,0.001662009,0.001070834,0.003283562,0.001391299,0.001339938,7.92E-04,0.001940127,5.83E-04,0.001306466,0.002534736,0.501180877,7.49E-04,0.021037282,0.001211956,4.44E-04,0.020876831,0.001150643,0.039893781,0.001192254,0.109218097,9.80E-04,0.00111535,0.001364579,0.003696089,0.00121133,0.002131482,8.25E-04,0.002831526,0.246442057,0.00239061,7.13E-04,6.02E-04,6.43E-04,0.020147329,11,29,20
10.2307_974059,6.88E-04,5.58E-04,3.60E-04,0.001102458,4.67E-04,4.50E-04,2.66E-04,6.51E-04,1.96E-04,4.39E-04,8.51E-04,5.97E-04,2.51E-04,6.14E-04,4.07E-04,1.49E-04,5.60E-04,3.86E-04,4.96E-04,4.00E-04,0.010873939,3.29E-04,3.74E-04,4.58E-04,0.001240964,4.07E-04,7.16E-04,2.77E-04,9.51E-04,0.005354767,8.03E-04,2.39E-04,2.02E-04,2.16E-04,0.967669036,34,20,29
10.2307_974062,6.88E-04,5.58E-04,3.60E-04,0.001102458,4.67E-04,4.50E-04,2.66E-04,6.51E-04,1.96E-04,4.39E-04,8.51E-04,5.97E-04,2.51E-04,6.14E-04,4.07E-04,1.49E-04,5.60E-04,3.86E-04,4.96E-04,4.00E-04,0.004424916,3.29E-04,3.74E-04,4.58E-04,0.001240964,4.07E-04,7.16E-04,2.77E-04,9.51E-04,0.005354767,8.03E-04,2.39E-04,2.02E-04,2.16E-04,0.97411806,34,29,20
10.2307_973433,0.001614467,0.001309794,8.44E-04,0.002587705,0.001096453,0.001055977,6.24E-04,0.001528972,4.59E-04,0.001029598,0.001997571,0.622028572,5.90E-04,0.001441788,0.122053064,3.50E-04,0.00131534,9.07E-04,0.001164948,9.40E-04,0.040660714,7.72E-04,8.79E-04,0.001075395,0.002912809,9.55E-04,0.001679775,6.50E-04,0.002231465,0.179078465,0.001883989,5.62E-04,4.75E-04,5.07E-04,7.40E-04,11,29,14
10.2307_973432,0.001614467,0.001309794,8.44E-04,0.002587705,0.001096453,0.001055977,6.24E-04,0.001528972,4.59E-04,0.001029598,0.001997571,0.591754085,5.90E-04,0.001441788,0.106915821,3.50E-04,0.00131534,9.07E-04,0.001164948,9.40E-04,0.070935201,7.72E-04,8.79E-04,0.001075395,0.002912809,9.55E-04,0.001679775,6.50E-04,0.002231465,0.194215709,0.001883989,5.62E-04,4.75E-04,5.07E-04,7.40E-04,11,29,14
10.2307_973426,0.001440076,0.001168313,7.53E-04,0.002308188,9.78E-04,9.42E-04,5.57E-04,0.001363817,4.10E-04,9.18E-04,0.001781799,0.001250194,0.932175188,0.00128605,8.52E-04,3.12E-04,0.001173261,8.09E-04,0.001039113,8.38E-04,0.022766495,6.89E-04,7.84E-04,9.59E-04,0.002598175,8.52E-04,0.001498331,5.80E-04,0.001990428,0.011211141,0.001680486,5.01E-04,4.23E-04,4.52E-04,6.60E-04,12,20,29
10.2307_973429,0.014942236,0.001168313,7.53E-04,0.002308188,9.78E-04,9.42E-04,5.57E-04,0.001363817,4.10E-04,9.18E-04,0.015283958,0.001250194,0.891668709,0.00128605,8.52E-04,3.12E-04,0.001173261,8.09E-04,0.001039113,0.027842417,0.009264335,6.89E-04,7.84E-04,9.59E-04,0.002598175,8.52E-04,0.001498331,5.80E-04,0.001990428,0.011211141,0.001680486,5.01E-04,4.23E-04,4.52E-04,6.60E-04,12,19,10
10.2307_973680,0.001718521,0.001394212,8.98E-04,0.018867347,0.001167121,0.001124036,6.65E-04,0.001627517,4.89E-04,0.001095957,0.002126317,0.001491924,6.28E-04,0.001534714,0.6455311,3.72E-04,0.001400116,9.65E-04,0.017352891,0.001000148,0.027168495,8.22E-04,9.36E-04,0.001144706,0.003100544,0.00101615,0.001788039,6.92E-04,0.002375286,0.190620331,0.002005415,5.98E-04,5.05E-04,5.40E-04,0.0652396,14,29,34
10.2307_973206,0.002535654,0.00205714,0.001325418,0.004064206,0.00172207,0.001658499,9.81E-04,0.026175679,7.21E-04,0.001617069,0.003137351,0.049749914,0.35754098,0.026038749,0.00150009,5.49E-04,0.002065851,0.0014242,0.001829648,0.001475705,0.040086734,0.001212789,0.001380517,0.001688998,0.313640714,0.001499315,0.002638227,0.001020883,0.003504701,0.138611828,0.002958961,8.82E-04,7.46E-04,7.96E-04,0.001162915,12,24,29
10.2307_973361,0.001567026,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,9.27E-04,3.39E-04,0.001276689,8.80E-04,0.941446713,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.001630415,6.31E-04,0.002165894,0.012199455,0.001828628,5.45E-04,4.61E-04,4.92E-04,7.19E-04,18,29,20
10.2307_973366,0.001567026,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,9.27E-04,3.39E-04,0.001276689,8.80E-04,0.941446713,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.001630415,6.31E-04,0.002165894,0.012199455,0.001828628,5.45E-04,4.61E-04,4.92E-04,7.19E-04,18,29,20
10.2307_973362,0.001567026,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,9.27E-04,3.39E-04,0.001276689,8.80E-04,0.926754276,9.12E-04,0.024773466,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.001630415,6.31E-04,0.002165894,0.012199455,0.001828628,5.45E-04,4.61E-04,4.92E-04,7.19E-04,18,20,29
10.2307_973857,0.00128404,0.133472559,6.71E-04,0.15856726,8.72E-04,0.012879021,4.97E-04,0.001216044,3.65E-04,8.19E-04,0.001588736,0.0853889,0.060664995,0.001146703,7.60E-04,2.78E-04,0.001046135,0.012760374,0.04908319,0.012786455,0.16476969,6.14E-04,6.99E-04,8.55E-04,0.098629991,7.59E-04,0.04949265,5.17E-04,0.00177476,0.118348888,0.025576734,4.47E-04,3.78E-04,4.03E-04,5.89E-04,20,3,1
10.2307_973267,0.00242056,0.070049295,0.001265257,0.003879731,0.001643905,0.00158322,0.0236313,0.002292379,6.89E-04,0.001543669,0.002994946,0.002101395,8.84E-04,0.274503783,0.001432,5.24E-04,0.001972081,0.001359555,0.001746599,0.001408722,0.015572006,0.00115774,0.001317855,0.001612334,0.004367156,0.001431261,0.002518477,9.75E-04,0.003345622,0.245796071,0.048215006,0.27318414,7.12E-04,7.60E-04,0.00111013,13,31,29
10.2307_974066,0.003225895,0.002617122,0.001686215,0.065662535,0.002190842,0.002109966,0.001247577,0.003055067,9.18E-04,0.002057257,0.003991382,0.123784531,0.001178673,0.002880863,0.183384419,6.99E-04,0.002628204,0.001811887,0.002327703,0.001877412,0.111490898,0.001542927,0.03200231,0.002148767,0.005820136,0.00190745,0.063848384,0.001298781,0.00445873,0.327573892,0.003764432,0.001122167,0.031194601,0.001012969,0.001479477,29,14,11
10.2307_973268,0.064638189,0.00180033,0.001159955,0.482103129,0.00150709,0.001451455,8.58E-04,0.002101594,6.31E-04,0.001415197,0.00274569,0.001926506,8.11E-04,0.001981759,0.001312821,4.81E-04,0.043420675,0.001246406,0.064020319,0.00129148,0.014276019,0.001061387,0.001208176,0.001478147,0.024810058,0.001312144,0.002308875,0.021699798,0.003067181,0.038082341,0.00258957,7.72E-04,6.53E-04,6.97E-04,0.209081344,3,34,0
10.2307_973204,0.001590392,0.001290263,8.31E-04,0.136752835,0.001080103,0.015951755,6.15E-04,0.001506173,4.52E-04,0.001014245,0.001967784,0.00138069,5.81E-04,0.001420289,9.41E-04,0.104725156,0.001295726,8.93E-04,0.150262818,0.135129296,0.144435069,7.61E-04,8.66E-04,0.00105936,0.032692423,9.40E-04,0.001654727,6.40E-04,0.00219819,0.250965753,0.001855896,5.53E-04,4.68E-04,4.99E-04,7.29E-04,29,18,20
10.2307_973369,0.00266224,0.002159837,0.001391586,0.004267101,0.00180804,0.001741296,0.00102959,0.02748243,7.57E-04,0.001697796,0.003293975,0.002311208,0.025933895,0.002377495,0.326070176,5.77E-04,0.002168983,0.076378807,0.001920988,0.001549375,0.042087957,0.001273335,0.001449436,0.001773317,0.054725532,0.001574165,0.002769933,0.001071848,0.003679664,0.220415162,0.00310668,9.26E-04,7.83E-04,0.075719482,0.101065647,14,29,34
10.2307_973678,0.002219108,0.00180033,0.001159955,0.08678228,0.00150709,0.043064176,8.58E-04,0.002101594,6.31E-04,0.001415197,0.00274569,0.001926506,8.11E-04,0.001981759,0.001312821,4.81E-04,0.001807954,0.001246406,0.043213959,0.00129148,0.014276019,0.042674108,0.001208176,0.001478147,0.004003698,0.29260119,0.023115236,8.93E-04,0.003067181,0.287758666,0.00258957,7.72E-04,6.53E-04,6.97E-04,0.125855902,25,29,34
10.2307_973368,0.00266224,0.20184919,0.001391586,0.004267101,0.00180804,0.001741296,0.00102959,0.00252126,7.57E-04,0.051620135,0.003293975,0.002311208,9.73E-04,0.002377495,0.001574978,5.77E-04,0.002168983,0.0014953,0.151688003,0.001549375,0.116971465,0.001273335,0.001449436,0.001773317,0.029764363,0.001574165,0.152536948,0.001071848,0.078563171,0.170492824,0.00310668,9.26E-04,7.83E-04,8.36E-04,0.001220971,1,29,26
10.2307_973205,0.001299688,0.220400161,6.79E-04,0.050826669,8.83E-04,8.50E-04,5.03E-04,0.001230862,3.70E-04,0.037386477,0.001608097,0.013314191,4.75E-04,0.013346552,7.69E-04,2.82E-04,0.001058883,0.01291587,9.38E-04,7.56E-04,0.057104681,6.22E-04,7.08E-04,8.66E-04,0.026716636,7.68E-04,0.001352263,5.23E-04,0.001796387,0.278207443,0.172118905,4.52E-04,3.82E-04,4.08E-04,0.098083067,29,1,30
10.2307_973885,0.0034336,0.163752844,0.033988228,0.069890341,0.002331903,0.00224582,0.001327904,0.003251773,9.77E-04,0.002189718,0.004248375,0.00298086,0.001254564,0.003066353,0.002031313,7.44E-04,0.002797426,0.001928549,0.002477577,0.001998293,0.150862892,0.001642272,0.001869397,0.002287119,0.006194876,0.002030265,0.003572497,0.001382406,0.004745814,0.18769814,0.004006812,0.00119442,0.322944109,0.001078191,0.001574736,32,29,1
10.2307_973363,0.001567026,0.001271305,8.19E-04,0.002511666,0.001064234,0.001024947,6.06E-04,0.001484044,4.46E-04,9.99E-04,0.001938873,0.001360404,5.73E-04,0.001399421,9.27E-04,3.39E-04,0.001276689,8.80E-04,0.941446713,9.12E-04,0.010081029,7.49E-04,8.53E-04,0.001043795,0.002827216,9.27E-04,0.001630415,6.31E-04,0.002165894,0.012199455,0.001828628,5.45E-04,4.61E-04,4.92E-04,7.19E-04,18,29,20
10.2307_974060,6.88E-04,5.58E-04,3.60E-04,0.001102458,4.67E-04,4.50E-04,2.66E-04,6.51E-04,1.96E-04,4.39E-04,8.51E-04,5.97E-04,2.51E-04,6.14E-04,4.07E-04,1.49E-04,5.60E-04,3.86E-04,4.96E-04,4.00E-04,0.004424916,3.29E-04,3.74E-04,4.58E-04,0.001240964,4.07E-04,7.16E-04,2.77E-04,9.51E-04,0.005354767,8.03E-04,2.39E-04,2.02E-04,2.16E-04,0.97411806,34,29,20
10.2307_973269,0.002366844,0.001920186,0.001237179,0.114751312,0.201331246,0.001548085,9.15E-04,0.002241507,6.73E-04,0.001509413,0.002928483,0.046437833,8.65E-04,0.002113694,0.001400222,5.13E-04,0.046311389,0.001329385,0.00170784,0.00137746,0.01522644,0.001132048,0.00128861,0.001576554,0.004270243,0.001399499,0.002462588,9.53E-04,0.003271377,0.373490693,0.00276197,8.23E-04,6.96E-04,0.067317824,0.089851638,29,4,3
10.2307_973970,0.002597406,0.002107238,0.001357696,0.077223031,0.001764008,0.147818585,0.001004516,0.00245986,7.39E-04,0.050363015,0.003213756,0.099668053,0.244481864,0.002319595,0.001536622,0.219742155,0.002116161,0.001458884,0.001874206,0.001511643,0.016709695,0.001242325,0.001414137,0.001730131,0.00468622,0.001535829,0.002702476,0.001045745,0.003590052,0.044574351,0.051737587,9.04E-04,7.64E-04,8.16E-04,0.001191236,12,15,5
10.2307_973271,0.002877735,0.002334665,0.001504227,0.13952075,0.001954392,0.001882245,0.00111293,0.002725344,8.19E-04,0.001835225,0.003560606,0.002498289,0.001051463,0.002569941,0.001702464,6.23E-04,0.002344551,0.001616337,0.002076482,0.001674789,0.099458064,0.001376405,0.00156676,0.001916858,0.005191988,0.001701585,0.164884043,0.001158608,0.003977514,0.238256656,0.192229697,0.001001056,8.46E-04,9.04E-04,0.109246401,29,30,26
10.2307_973966,0.003941112,0.003197367,0.002060068,0.006316907,0.002676576,0.002577769,0.001524179,0.003732409,0.001121268,0.002513374,0.004876317,0.003421453,0.001439998,0.003519582,0.150139057,8.54E-04,0.003210907,0.002213603,0.002843781,0.002293655,0.025354059,0.001885012,0.039097583,0.002625173,0.007110525,0.002330353,0.188859914,0.001586736,0.00544728,0.104585708,0.004599049,0.001370965,0.407629546,0.001237556,0.001807494,32,26,14
10.2307_973882,0.002130454,0.001728406,0.001113614,0.003414742,0.001446882,0.001393469,8.24E-04,0.002017635,6.06E-04,0.001358659,0.002635999,0.001849541,0.899659745,0.001902587,0.001260374,4.61E-04,0.001735726,0.001196611,0.001537268,0.001239885,0.013705688,0.001018984,0.001159909,0.001419094,0.003843749,0.001259723,0.002216635,8.58E-04,0.022919787,0.0165858,0.002486116,7.41E-04,6.26E-04,6.69E-04,9.77E-04,12,28,29
10.2307_974063,6.88E-04,5.58E-04,3.60E-04,0.001102458,4.67E-04,4.50E-04,2.66E-04,6.51E-04,1.96E-04,4.39E-04,8.51E-04,5.97E-04,2.51E-04,6.14E-04,4.07E-04,1.49E-04,5.60E-04,3.86E-04,4.96E-04,4.00E-04,0.004424916,3.29E-04,3.74E-04,4.58E-04,0.001240964,4.07E-04,7.16E-04,2.77E-04,9.51E-04,0.005354767,8.03E-04,2.39E-04,2.02E-04,2.16E-04,0.97411806,34,29,20
